ID,Epic,Task,Description,Dependency,Priority,Suggested Owner,Acceptance Criteria,Estimated Complexity,Status,Source or Decision Reference
A-1102,Tournament Administration,Select and authorize model route,Choose an accessible current frontier model and set provider credentials.,M0-005,Critical,Chris,Verified LiteLLM model name completes one structured fixture call within cost cap.,S,Blocked,D27; owner decision
A-1103,Tournament Administration,Obtain retrieval credentials,Create AskNews API key and optional Exa fallback key.,None,High,Chris,verify-env recognizes keys; one citation-retaining test query succeeds.,S,Blocked,https://docs.asknews.app/ | https://exa.ai/pricing
A-1104,Tournament Administration,Confirm current MiniBench eligibility,Read current rules and confirm bot/prize/payout requirements before live batch.,A-1101,High,Chris,"Eligibility, payout identity, update rules and admin deadlines are recorded in Verified Facts.",S,Blocked,https://www.metaculus.com/notebooks/38928/futureeval-resources-page/ | R-001
A-1105,Tournament Administration,Complete required post-round administration,Complete any survey or payout steps applicable to the entered tournament.,M3-707; A-1104,Medium,Chris,Required forms are submitted by the official deadline and evidence is recorded privately.,S,Not Started,https://www.metaculus.com/notebooks/43340/summer-futureeval-announcement/
A-1106,Tournament Administration,Provision xAI API access,"Create the xAI developer account, generate XAI_API_KEY and confirm current X Search tool pricing.",None,Medium,Chris,XAI_API_KEY is present in the operator environment and current X Search pricing is recorded in Verified Facts; retrieval.social stays disabled until both hold.,S,Not Started,CLAUDE_CODE_PROMPT.md B; https://console.x.ai
M1-609,Attribution Ledger,Verify SQLite foreign-key enforcement after connection setup,"ledger.connect sets PRAGMA foreign_keys = ON but never reads it back, unlike journal_mode and recursive_triggers, which are both read back and raise LedgerError when the setting did not take. An unknown or ignored PRAGMA is a silent no-op in SQLite, so foreign-key enforcement is assumed rather than verified. M1-607 relies on that assumption: it guards the five identifier primary keys directly and leaves every FK column (the four *_forecast_record_id columns, forecast_records/research_documents.retrieval_run_id) covered transitively. Declared there as a standing risk rather than fixed, because reading the PRAGMA back changes ledger.connect's contract and belongs to its own item. Raised as a non-blocking backlog candidate by M1-607 cross-model review round 1.",,Low,Claude Code,"ledger.connect reads PRAGMA foreign_keys back and raises LedgerError unless it is enabled, with a message naming the path and no stored value; a test asserts the refusal, and the existing journal_mode/recursive_triggers read-backs are the shape to follow. Note in the item that no deterministic failure is reproducible on the supported SQLite runtime -- the PRAGMA is recognized and set outside a transaction -- so this closes an unverified assumption rather than a demonstrated defect.",S,Done,M1-607 review round 1 (non-blocking); M1-607 M1-NOTES standing risk
M0-008,Repository Foundation,Stop treating include_input=False as a sufficient pydantic sanitizer,"Five modules rebuild a pydantic ValidationError with errors(include_input=False, include_url=False) and the codebase has been reading that as ""the offending value cannot escape"". It is not sufficient, on two counts, both reproduced by execution during M1-602's round-1 remediation. (1) Several of pydantic's own msg strings interpolate the input into the message text, which the flags do not touch: a union_tag_invalid error reads ""Input tag 'X' found using 'k' does not match ..."", and X is the untrusted value. (2) Under extra=""forbid"" the loc of an unexpected key IS that key, so a stored or provider-supplied object leaks its key names through the field path. forecast/schema.py and research/model.py already guard (2) with a schema-authored field-name set; config.py, research/allowlist.py and questions/normalize.py render err['msg'] and are not guarded against (1). No merged module has a reachable leak today -- the only discriminated-union adapter in src/ (CanonicalQuestionAdapter) is defined and never called -- so this is a latent hazard and a false rule, not a live defect. M1-602 closed both halves in forecast/record.py; the rule needs stating once and applying everywhere, before the next module adds a union.",M0-005,Medium,Claude Code,"One shared sanitizer renders a ValidationError from loc and type only, withholding any loc part the schema did not author; every module that catches a ValidationError uses it; a test plants a marker in both a value and a key at top level and nested and asserts neither reaches the message, and a companion test asserts an authored field name still survives so the withholding is not blanket.",S,Not Started,M1-602 round-1 cross-model review (finding B1)
M1-508,Validation and Calibration,Decide what a tied percentile value may cost on the conversion path,"prompts/forecaster.md tells the model percentile values must be non-decreasing, and M1-405 enforces exactly that: two equal values are a reply that followed the prompt, and refusing one would spend the single budgeted repair call on the project's own inconsistency. The pinned SDK agrees at the declared stage -- NumericDistribution._check_percentiles_increasing raises only on value[i] > value[i+1] -- but then _check_and_update_repeating_values MUTATES declared_percentiles in place, nudging every repeated value by 1e-6 when it is inside the bounds and by 1e-10 when it is at or outside one. That runs inside the model_validator, so it happens on construction, before get_cdf is ever called. The record stores the percentiles the model returned; the CDF submitted would be built from values this project did not produce and does not persist. Against 'nothing is clamped' (binary.py, M1-502's 'no arbitrary post-hoc renormalization is hidden') that is a real divergence, and it is invisible unless someone reads the SDK. Not a defect in M1-405: the nudge happens in the conversion M1-503 owns, and the options -- record the nudged values as a derived artifact, refuse ties at the conversion boundary, or bump the prompt to ask for strictly increasing values and re-hash -- are all M1-503's or the prompt owner's to weigh. UPDATE (M1-503): this is no longer only an attribution question. The same rewrite can make the converted percentile set non-monotone, which drives forecasting-tools 0.2.92's _standardize_cdf into a non-terminating scale search -- see M1-514 for the mechanism and M1-503's forecast/cdf.py for the guard now in place.",M1-405,Medium,Claude Code,"A tied percentile value either cannot reach NumericDistribution, or the difference between the declared percentiles and the ones the submitted CDF was built from is recorded rather than silent; a test constructs the tie and asserts the chosen behaviour against the pinned SDK by execution. Whichever branch is taken must also leave M1-503's liveness guard intact or replace it: M1-503 found that a repeated value at or beyond a bound is rewritten ONTO that bound, which can leave the converted set non-monotone and send _standardize_cdf's scale search into a loop with no exit (M1-514). Recording the divergence alone does not close this row while a tie can still hang the conversion.",S,Not Started,M1-405; forecasting-tools==0.2.92 numeric_report.py
M1-509,Forecast Generation,Settle whether a configured probability bound may be rendered in a diagnostic,"binary.binary_output_problems renders forecast.min_probability and forecast.max_probability into its out-of-bounds message, and M1-403 argued for it: prompts/forecaster.md prints 0.001-0.999 to the model as a literal while config is free to narrow it, so a repair turn that does not state the actual bound is one no model can satisfy. That argument is specific and it still holds. What is not settled is the category. CLAUDE.md's error-hygiene rule says a message never echoes stored, file or field values, and names filesystem paths as the ONE carve-out -- config values are not paths. The string also does not stop at the repair turn: after a second failure it reaches ForecastGeneration.failure_problems and from there the persisted raw-output artifact. M1-405 hit the same question for numeric and resolved it the other way, because there the model is already sent the bounds (forecast/inputs.py) so naming them back buys nothing -- which is attribution.py's argument for not rendering supplied source_ids. Binary genuinely differs, so the two modules now differ on purpose rather than by accident, and that difference should be written down as a decision or removed. Raised as a non-blocking observation by M1-405's round-1 cross-model review, which classed it pre-existing: this branch adds binary's question parameter and does not increase the pattern's reachability or impact. **Widened by M1-502 round-1 cross-model review (2026-08-28): this is not binary's alone.** forecast/multiple_choice.py renders the same configured pair -- its per-option bounds problem is built as ""each probability must be between {low!r} and {high!r} inclusive"" -- so the two categorical checkers agree with each other and the row's framing of binary as the lone outlier was wrong. M1-502 added tests that assert those exact strings, which pins the current behaviour but decides nothing. The envelope check M1-502 added alongside them deliberately withholds the configured pair and names only the spec's 0.001/0.999 ends, so the module is now internally inconsistent on purpose, pending this row.",M1-403; M1-404,Low,Claude Code,"Either the configured bounds stop appearing in categorical diagnostics -- binary AND multiple-choice -- and the repair turn is shown to stay actionable without them, or the carve-out is widened in CLAUDE.md to name operator-supplied configuration values alongside paths and both modules cite it. Tests pin whichever holds, in both modules, and forecast/numeric.py's value-free messages stop disagreeing with them silently.",S,Not Started,M1-405 round-1 cross-model review; D11; M1-401 path carve-out; M1-502 round-1 cross-model review
M1-510,Validation and Calibration,Make the composed output-validation properties registry-complete,"M1-405 round 3 found that composed_cases() in tests/property/test_forecast_properties.py generates only binary and multiple-choice responses, though _TYPE_CHECKERS now registers three non-None checkers. _type_specific_half dispatches through the registry, so the *dispatch* is complete, but the numeric checker is never reached through the composed entry point by any property: 300 draws produced 190 multiple_choice, 110 binary and 0 numeric. M1-405's own request claimed the opposite as risk 15 and the claim was false. No product defect follows -- section 5b covers numeric_output_problems directly -- but this is the project's top recurring defect class (a property that cannot fail for the branch it names) reappearing one level up: here the guard's dispatch is registry-driven while the strategy that feeds it is not, so the anti-vacuity guard is itself partly vacuous. It will silently worsen with each new registration.",M1-405,Medium,Claude Code,"Every non-None _TYPE_CHECKERS entry is generated by the composed strategy, with an anti-vacuity assertion that fails when any registered response type is absent from the draws -- so a fourth registration cannot silently go uncovered. The numeric arm must reach both a biting and a silent verdict, event-tagged like the existing arms.",S,Not Started,M1-405 round-3 cross-model review
M1-511,Validation and Calibration,Decide whether the option count is capped at generation as well as at post time,"submission_live._MAX_CATEGORIES refuses a multiple-choice payload naming more than 64 options, and that bound is this module's own rather than the platform's: it is what keeps a verification snapshot inside _MAX_BODY. forecast/multiple_choice.py has no such cap, so a 65-option reply is validated, recorded, approved and only then refused -- one billed call plus an approval decision spent on a post that cannot happen. That is exactly the ordering argument the owner accepted for per-option bounds (M1-404, 2026-08-26): a repair turn at generation costs one call against a live post that never lands. M1-404 rejected the cap anyway, and the counter-argument is equally specific -- a cap this project invented would refuse a question Metaculus accepted, and _MAX_CATEGORIES is a serialization budget, not a platform limit. The two arguments are both right and they point opposite ways, which is why this is a decision rather than a defect. Raised while implementing M1-502.",M1-404,Low,Claude Code,"Either the generating path refuses an option count no post could carry and cites the bound it is deriving that from, or the asymmetry is recorded as a decision naming why a serialization budget must not become a forecast rule; a test pins whichever holds, and forecast/multiple_choice.py and submission_live.py stop disagreeing silently.",S,Not Started,M1-502; M1-404 per-option bounds owner decision
M1-512,Validation and Calibration,Refuse a bounds/option-count pair that no multiple-choice reply can satisfy,"multiple_choice_output_problems requires every option probability to be at least forecast.min_probability AND the vector to sum to 1 within 1e-6. For a question carrying n options those two rules are jointly satisfiable only while n <= 1 / min_probability -- 1000 at the committed default. Past that, every reply is refused, the repair turn asks for something no model can produce, and the question costs two billed calls to fail. This is the same class binary._require_config already refuses for an inverted bounds pair, and generate_forecast already runs two such preflights before spending (the bounds pair and M1-405's zero_point check), so the shape of the fix is settled. It is filed rather than built because it is not reachable today: Metaculus multiple-choice questions carry a few dozen options, which submission_live._MAX_CATEGORIES records at 64. It becomes reachable if a narrower min_probability is ever configured -- at 0.05 the ceiling is 20 options. Raised while implementing M1-502.",M1-404,Low,Claude Code,"A question whose option count and configured min_probability admit no valid distribution is refused before any billable call, as an error naming the configured bound and the count and no model output; a test drives one such pair and asserts client.calls == [].",S,Not Started,M1-502; M1-404; binary._require_config preflight convention
M1-513,Validation and Calibration,Make the probability envelope a true single source,"M1-502 round 1 moved the spec's 0.001-0.999 envelope into config.PROBABILITY_BOUND_FLOOR/CEILING and had forecast/binary.py, forecast/multiple_choice.py and forecast/generate.py's preflight re-check against those constants, closing the round-1 blocker. It did not go far enough, and M1-502's round-2 review said so: submission_live.py still declares its own executable 0.001 and 0.999, so there are two sources in src/ for one spec number and nothing fails if they drift. M1-502's risk claim 4 asserted a single source and was true only of the forecast package. The new diagnostics also embed the endpoints as literal strings in their messages rather than deriving them from the constants, so a change to the envelope would leave the message stating the old pair. Non-blocking on M1-502: the submission declarations predate both the branch and the pinned base, and the two sources agree today. Note this is deliberately NOT M1-509, which asks whether a *configured* pair may be rendered at all; this row is about the *spec* endpoints having one owner. Raised by M1-502 round-2 cross-model review.",M1-502,Low,Claude Code,"Submission validation and forecast validation consume the same endpoint constants, and the diagnostics that name the envelope derive their displayed endpoints from those constants rather than from literal strings; a test fails if a second executable declaration of either endpoint appears in src/, so the two cannot drift silently.",S,Not Started,M1-502 round-2 cross-model review; CODEX_HANDOFF.md Configuration schema
M1-514,Validation and Calibration,Bound the numeric conversion in time,"forecasting-tools==0.2.92's NumericDistribution._standardize_cdf finds its scale factor with `lo = hi = scale = 1.0; while capped_sum(hi) < 1.0: hi *= 1.2`, where capped_sum sums min(cap, scale * pmf) over the interior points. A negative interior PMF entry makes that sum fall without bound as scale grows instead of rising, so hi reaches inf, inf * 1.2 is still inf, and capped_sum(inf) is -inf -- still below 1.0. The loop has no exit: get_cdf does not raise and is not slow, it never returns, and nothing on the forecast path imposes a deadline, so generate_forecast stops with no error, no failure event and no billing bound. Found on M1-503 by fuzzing the conversion under a worker-thread deadline. Two unrelated inputs reach it from replies numeric_output_problems accepts and prompts/forecaster.md asks for (it says non-decreasing, so a tie is compliant): a repeated value at or beyond a bound, which _check_and_update_repeating_values rewrites ONTO the bound while leaving an unrepeated value further out alone; and a log-scaled question whose values span many orders of magnitude, where the interpolation loses order with no rewrite involved. M1-503 ships the deterministic guard it can -- it evaluates the SDK's own pre-standardization curve via _get_cdf_at and refuses a set that is not non-decreasing with a positive span, which closes both known inputs and costs one extra interpolation -- but that guard is keyed on the mechanism it has evidence for, not on a proof that no other input diverges, and it reaches into a private SDK method. This row owns the general answer: a wall-clock bound on the conversion, or on the forecast path as a whole, so an unknown non-terminating input degrades to a recorded failure rather than a stopped run. Note M0-002 pins 0.2.92 and CI fails on drift, so upgrading past the defect is itself a decision rather than an action.",M1-503,High,Claude Code,"A numeric conversion that does not terminate is cut off and recorded as a pipeline failure rather than stopping the run; the bound is asserted by a test that constructs a non-terminating input and fails loudly instead of hanging the suite; M1-503's pre-standardization guard either remains as the fast path or is replaced, and whichever is chosen is stated with its reason.",M,Not Started,M1-503; forecasting-tools==0.2.92 numeric_report.py _standardize_cdf
M1-315,Forecast Generation,Compose the live paid forecast run,"T-903 shipped whiskeyjack_bot.pipeline.run_replay and the `run` CLI command, and both are replay-only by construction: no provider SDK, no HTTP client and no model client is reachable from that module's import graph, which is how its two zeroes (zero provider calls, zero submission calls) are pinned by a test rather than by a mock count. The paid composition is therefore still unwritten. It is the same split M1-312 made against M1-306 -- composing paid calls is a different risk from composing free ones -- and it is also where the two parts of CODEX_HANDOFF's `run` signature that T-903 deliberately did not implement belong: --limit and the batch loop over a snapshot's questions. A live run calls generate_forecast instead of replay_generation, must not repeat a paid retrieval when a later phase is retried, and needs the per-question failure isolation a batch loop implies, none of which the replay path exercises.",M1-312; T-903,High,Claude Code,"One command forecasts one or more snapshot questions through live retrieval and a live model call, writing one validated record per question; a per-question failure records its pipeline event and does not abort the batch; retrying a later phase repeats no paid call unless asked; the replay path's structural zero-provider-call guarantee is unchanged, which requires the paid composition to live outside whiskeyjack_bot.pipeline or that module's import-graph test to be restated.",L,Done,T-903 module boundary; CODEX_HANDOFF Required CLI entry points
M1-316,Forecast Generation,Enforce AppConfig at the pipeline public boundary,"T-903's round-2 cross-model review classed this non-blocking and it is: the guards are private, the CLI always supplies load_config's AppConfig, and the behaviour predates the branch. It is still worth a row because T-903's own round-2 request claimed the opposite as risk claim 7 -- that _require_retained_output cannot be satisfied by a non-AppConfig -- and the claim was false: SimpleNamespace(storage=SimpleNamespace(retain_raw_model_output=True)) passes it, because the guard reads the attribute and checks the value's type rather than the object's. _require_replay_enabled has the same shape and the same hole, and it was written first, so this is a pattern rather than one slip: every AttributeError-to-PipelineError guard in pipeline.py says 'config must be an AppConfig' in its message while checking something weaker. The message is the part that is wrong -- either the check should match it or it should stop claiming a type it does not verify. Same defect class as the vacuous-property findings this project keeps hitting: a guard whose stated claim is stronger than what it can fail on.",T-903,Low,Claude Code,"run_replay refuses a non-AppConfig at the public boundary before any I/O, with one check whose failure message matches what it actually verifies; a test constructs a structurally compatible stand-in (SimpleNamespace or equivalent) and asserts it is refused, and the per-attribute guards inside pipeline.py either become that check or stop naming AppConfig in their messages.",S,Not Started,T-903 round-2 cross-model review
M1-317,Forecast Generation,Give a post-generation persistence failure a ledger identity,"M1-315's live batch has three per-question failure shapes and only two of them can be written down. pipeline_failure_events.event_type is CHECK-constrained to ('research_failed','generation_failed'), and when a good forecast is refused by the ledger neither is true -- the generation succeeded. M1-315 therefore writes nothing for that case, reports it as status='not_recorded' with the sanitized reason on the batch result, and leaves the raw-output artifact on disk as the only durable trace. That is the honest choice under T-903's rule that a failure which did not happen must not be recorded, but it means the one failure mode that implies a sick ledger is the one the ledger does not see. Widening the vocabulary is a CHECK rebuild of an append-only table (the cost 009 refused), so it is a row rather than a sideways fix.",M1-315,Medium,Claude Code,"A forecast that generated successfully and could not be persisted leaves a durable, queryable record of that fact; the chosen mechanism does not weaken the append-only guarantee and does not require a forecast_records row that does not exist; a test drives a ledger refusal between the row and its validation event and asserts the record of the failure survives the process.",M,Not Started,M1-315 pipeline_live._attempt_question; 004_pipeline_failure_events.sql
M1-318,Retrieval,Decide how retrieval queries are constructed from a question,"M1-315 needed queries and nothing in the tree derived them -- both adapters take a caller-supplied list and research/asknews.py says so ('deriving them from a question is not this item's job'). derive_queries ships the minimum that is defensible offline: the question title, plus the group parent title joined to it for an M1-202 sibling whose own title is a bare option label. It reads no config and is pure. This is the largest single lever on run cost -- retrieval.max_queries_per_question is 6 and AskNews bills two calls per query, so the committed ceiling is 12 billable calls per question against the 1 or 2 this produces. Whether that is the right trade is an empirical question this project cannot answer offline, and the alternatives were rejected without evidence: asking the model to expand the question spends a billable call to decide how to spend billable calls, and keyword heuristics over a title are guesses nothing here can evaluate.",M1-315,Medium,Claude Code,"Query construction is chosen against measured retrieval quality rather than by default, with the cost of each option stated in billable calls per question; whichever is chosen stays a pure function with a property pass; if the model is used to expand queries, the call is counted and recorded on the run like any other paid call.",M,Not Started,M1-315 derive_queries; CLAUDE_CODE_PROMPT.md query construction
M1-319,Retrieval,Give official_source_required a source,"exa.decide_fallback takes official_source_required as one of its two authorizing triggers, and M1-315's orchestrator passes it False unconditionally -- because v1 config has no field that expresses a per-question official-source requirement and inventing one in the orchestrator would put a paid-call trigger in a module that cannot say where it came from. The consequence is that half of D18's policy is currently unreachable: the fallback runs only when AskNews fails. M1-304's structured-source router is where the requirement is supposed to originate.",M1-304; M1-315,Low,Claude Code,"A question that needs an official or authoritative source reaches decide_fallback with official_source_required=True from a source that can be pointed at, not from a literal; a test drives one such question and asserts the fallback ran with official_source_required among the persisted reasons.",S,Not Started,D18; M1-315 retrieve_for_question
M1-320,Ledger and Storage,Move MissingCredentialError out of the module that holds the poster,"research/exa.py imports MissingCredentialError from metaculus/client.py, which also holds SingleAttemptPoster and build_poster. So importing the Exa adapter -- and therefore any live retrieval path -- puts the Metaculus posting client on the import graph, for an exception class. M1-315's guard on pipeline_live has to name that coupling explicitly instead of forbidding metaculus.client, which makes its claim weaker than the replay path's for a reason unrelated to what either module does. Not a live defect: posting still requires an approved record and a separate command. It is an import-graph guarantee that cannot be stated as simply as it should be.",M1-315,Low,Claude Code,"MissingCredentialError lives in a module that holds no network client; every current importer is updated; a fresh interpreter importing whiskeyjack_bot.pipeline_live loads no Metaculus posting code, and the M1-315 guard forbids metaculus.client outright rather than documenting an exception to itself.",S,Not Started,M1-315 test_live_run_acceptance.py::test_the_poster_coupling_is_named_rather_than_hidden
M1-321,Retrieval,Decide what a cross-provider duplicate document means to the forecaster,"dedup.dedup_key is (retrieval_run_id, canonical_url, content_sha256), so two runs can never collapse against each other by construction -- an article retrieved by both AskNews and Exa becomes two rows, two packet documents and two source ids, and forecast/inputs.py shows the model both. Dropping one would be an attribution loss (a run's row would claim evidence the packet does not carry), so M1-315 does not collapse them, but the model can double-count one article as two independent sources and the prompt's evidence rules read corroboration off distinct source ids. Bounded in practice, because M1-315's fallback runs mainly when the primary failed and therefore retained little.",M1-305; M1-315,Medium,Claude Code,"A document retrieved by more than one provider is presented to the forecaster in a way that does not read as independent corroboration, without any run losing the claim that it retrieved it; a test builds a packet whose two runs share one canonical URL and content hash and asserts the chosen behaviour at the model-input boundary.",M,Not Started,M1-305 dedup_key; M1-315 orchestrate module docstring
T-905,Testing,Make gate.sh fail when a gate fails,"scripts/gate.sh reports 'FAIL', prints the failing output, says 'the remaining gates were not run' -- and exits 0. run_gate reads `status=$?` on the line after `fi`, and in bash an `if` whose condition is false and which has no `else` completes with status 0, so the captured status is the compound statement's, not the failing command's, and `exit ""$status""` exits clean. Verified by execution on the M1-315 branch: a deliberately misformatted file makes gate.sh print the ruff format failure and return 0. The human-readable output is correct, so a person reading the terminal is not misled; anything reading the exit code is. That is the failure mode docs/LESSONS.md lesson 7 names -- a check whose failure mode is a silent pass -- in the script whose whole purpose is to be the check. Not currently load-bearing for a review request: review-request.py runs the four gates itself through subprocess and tests returncode, so its refusal-on-red is unaffected. It is load-bearing for any hook, wrapper or CI step that shells out to gate.sh, and for a session that reads the exit code instead of the text. Found while remediating M1-315 round 1.",,Medium,Claude Code,"scripts/gate.sh exits non-zero whenever any of the four gates fails, with the failing gate's own status; a test drives at least one failing gate and asserts the exit code rather than the printed text, so the defect cannot return silently; the passing path still exits 0 and the printed output is unchanged.",S,Not Started,M1-315 round-1 remediation; docs/LESSONS.md lesson 7
